f1,f2,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6
9.458468794822693,2.4405043,"[15, 18, 25, 0, 17, 26]","[6, 4, 24, 30, 11, 12, 1, 28, 38, 9, 29]","[33, 23, 35, 13, 34, 16, 8, 7, 3]","[2, 20, 21]","[10, 19, 22, 32]","[39, 31, 14, 27, 37, 5, 36]"
9.6327383518219,2.176178,"[15, 18, 25, 0, 17, 26]","[20, 6, 4, 24, 30, 11, 28, 38, 9, 29, 2]","[12, 7, 3, 1, 33]","[23, 39, 31, 35]","[8, 36, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.832935094833374,2.133245,"[26, 17, 0, 25, 18, 15]","[6, 4, 24, 30, 11, 12, 7, 28, 38, 9, 29]","[3, 1, 23, 39, 33]","[20, 2, 36, 8, 16, 34, 13, 31, 35]","[5, 37, 14, 27, 10]","[32, 19, 22, 21]"
9.56356942653656,2.376959,"[15, 17, 0, 26]","[6, 18, 25, 24, 4, 9, 29]","[30, 11, 12]","[38, 28, 7, 3, 1, 33, 23, 39, 31, 35, 36, 2, 20]","[8, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.565105557441711,2.3732393,"[26, 17, 0, 25, 18, 15]","[29, 9, 30, 24, 4, 6]","[11, 28, 38, 12]","[7, 3, 1, 33, 23, 39, 31, 35, 8, 36, 2, 20]","[16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.437877148389816,2.912263,"[15, 26]","[6, 17, 0, 25, 18, 4, 9, 29]","[30, 24, 11, 28, 38, 3, 12]","[7, 1, 33, 23, 39, 31, 2, 20]","[16, 34, 36, 8]","[35, 13, 14, 27, 37, 5, 10, 32, 19, 22, 21]"
9.854552745819092,2.0589576,"[26, 17, 0, 25, 18, 6, 15]","[38, 28, 30, 24, 4, 9, 29]","[11, 12, 1, 3, 7, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[5, 37, 14, 27, 10]","[32, 19, 22, 21]"
9.61371624469757,2.3606195,"[26, 17, 15]","[29, 9, 4, 25, 0, 18, 6]","[30, 24, 11, 28, 38, 7, 3, 1, 12]","[20, 2, 36, 8, 16, 34, 35, 31, 39, 23, 33]","[13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.575981497764587,2.424796,"[15, 18, 25, 0, 17, 26]","[29, 9, 38, 4, 6]","[12, 3, 28, 11, 24, 30]","[20, 2, 8, 16, 34, 35, 31, 39, 23, 33, 1, 7]","[36, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
9.65569531917572,2.176178,"[15, 6, 9, 18, 25, 0, 17, 26]","[4, 29]","[30, 24, 11, 12, 28, 38, 7, 3, 1, 31, 39, 23, 33]","[20, 2, 36, 8, 16, 34, 13, 35]","[27, 14, 37, 5]","[10, 32, 19, 22, 21]"
9.472402930259705,2.4479399,"[15, 18, 25, 0, 17, 26]","[29, 9, 4, 6]","[11, 7, 38, 28, 24, 30]","[20, 2, 36, 8, 16, 34, 35, 31, 39, 23, 33, 1, 3, 12]","[5, 37, 27, 14, 13, 10]","[32, 19, 22, 21]"
9.649969816207886,2.322621,"[26, 17, 0, 25, 18, 9, 15]","[29, 4, 6]","[12, 38, 28, 11, 24, 30]","[7, 3, 1, 33, 23, 39, 31, 35, 2, 20]","[8, 36, 16, 34, 13, 14, 27, 37, 5]","[10, 32, 19, 22, 21]"
